title,area,property_type,price_annual,bedrooms,bathrooms,toilets,has_pool,has_gym,has_parking,has_bq,has_elevator,is_newly_built,is_furnished,is_serviced,has_security,has_generator,has_ac,has_wifi,has_water
Self contain (single rooms) for rent,Orchid Road Lekki,Apartment,2800000.0,1.0,1.0,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0
4 bedroom terraced duplex for rent,Lekki County Lekki,Duplex,9000000.0,4.0,4.0,5.0,0,0,0,0,0,0,0,1,0,0,0,0,0
3 bedroom flat / apartment for rent,In An Estate Surulere,Apartment,7500000.0,3.0,3.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0
3 bedroom flat / apartment for rent,Mobil Road Ilaje Ajah,Apartment,3000000.0,3.0,3.0,4.0,0,0,0,0,0,0,0,1,0,0,0,0,0
Self contain (single rooms) for rent,Sangotedo Ajah,Apartment,900000.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0
3 bedroom flat / apartment for rent,Gerrad Road Ikoyi,Apartment,60000000.0,3.0,3.0,4.0,1,1,1,0,0,0,1,0,0,0,0,0,0
3 bedroom flat / apartment for rent,Gerrard Road Ikoyi,Apartment,35000000.0,3.0,3.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0
1 bedroom flat / apartment for rent,Victoria Island (Vi),Apartment,19500000.0,1.0,1.0,2.0,0,0,0,0,0,0,1,0,1,0,0,0,0
4 bedroom semi-detached duplex for rent,Lekki Phase 1 Lekki,Duplex,45000000.0,4.0,4.0,5.0,0,0,0,1,0,0,1,0,0,1,0,0,0
5 bedroom detached duplex for rent,Lekki Phase 1 Lekki,Duplex,85000000.0,5.0,5.0,6.0,0,1,0,1,0,0,0,0,0,0,0,0,0
1 bedroom flat / apartment for rent,Lekki Phase 2 Lekki,Apartment,3500000.0,1.0,1.0,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0
2 bedroom flat / apartment for rent,Olokonla Ajah,Apartment,2200000.0,2.0,3.0,3.0,0,0,0,0,0,0,0,0,1,0,0,0,0
4 bedroom detached bungalow for rent,Sangotedo Ajah,Duplex,6000000.0,4.0,4.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0
3 bedroom terraced duplex for rent,Olokonla Ajah,Duplex,5500000.0,3.0,4.0,4.0,0,0,0,0,0,0,0,0,1,0,0,0,0
2 bedroom flat / apartment for rent,Ogba Ikeja,Apartment,2200000.0,2.0,2.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0
4 bedroom house for rent,Prime Location Ikoyi,Apartment,50000000.0,4.0,5.0,5.0,1,1,1,1,0,0,1,1,0,0,0,0,0
Self contain (single rooms) for rent,Ogba Ikeja,Apartment,800000.0,1.0,1.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0
1 bedroom mini flat (room and parlour) for rent,Alagomeji Yaba,Apartment,2500000.0,1.0,1.0,3.0,0,0,1,0,0,0,0,0,1,0,0,0,1
4 bedroom detached duplex for rent,Victoria Island (Vi),Duplex,90000000.0,4.0,4.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0
3 bedroom flat / apartment for rent,Ado Road Ajah,Apartment,3000000.0,3.0,2.0,2.0,0,1,0,0,0,0,0,0,1,0,0,0,0
2 bedroom flat / apartment for rent,Badore Road Ajah,Apartment,2500000.0,2.0,2.0,2.0,0,1,0,0,0,0,0,0,1,0,0,0,0
2 bedroom flat / apartment for rent,Badore Road Ajah,Apartment,3000000.0,2.0,2.0,3.0,0,1,0,0,0,0,0,0,1,0,0,0,0
Self contain (single rooms) for rent,Ori-Oke Ogudu,Apartment,1000000.0,1.0,1.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0
5 bedroom detached duplex for rent,Chevron Headquarters Lekki,Duplex,18000000.0,5.0,5.0,6.0,0,0,0,1,0,0,0,1,0,0,0,0,0
2 bedroom flat / apartment for rent,Ikate Lekki,Apartment,16000000.0,2.0,2.0,3.0,0,0,0,0,1,0,0,0,0,0,0,0,0
2 bedroom flat / apartment for rent,Salem Lekki,Apartment,6000000.0,2.0,2.0,3.0,0,0,0,0,0,0,0,1,1,0,0,0,0
2 bedroom flat / apartment for rent,Lekki,Apartment,30000000.0,2.0,2.0,3.0,1,1,0,0,0,0,1,1,0,0,0,0,0
4 bedroom semi-detached duplex for rent,Chevron Lekki,Duplex,10000000.0,4.0,4.0,5.0,0,0,0,0,0,0,0,1,1,0,0,0,0
4 bedroom flat / apartment for rent,Ikoyi,Apartment,38000000.0,4.0,4.0,5.0,1,1,0,0,0,0,0,1,1,0,0,0,0
3 bedroom house for rent,Lekki Phase 1 Lekki,Apartment,18000000.0,3.0,3.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0
Self contain (single rooms) for rent,Orchid Road Lekki,Apartment,2000000.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0
4 bedroom terraced duplex for rent,Banana Island Estate Ikoyi,Duplex,50000000.0,4.0,4.0,5.0,1,0,0,1,0,0,0,1,0,0,0,0,0
24 bedroom flat / apartment for rent,Lekki Phase 1 Lekki,Apartment,160000000.0,8.0,8.0,10.0,0,0,0,0,0,0,0,0,0,0,0,0,0
1 bedroom mini flat (room and parlour) for rent,Before Lbs Ajah,Apartment,4000000.0,1.0,1.0,1.0,0,0,0,0,0,0,1,1,0,0,0,0,0
3 bedroom flat / apartment for rent,Banana Island Ikoyi,Apartment,95000000.0,3.0,3.0,4.0,1,1,0,1,0,0,0,1,0,0,0,0,0
3 bedroom flat / apartment for rent,Orchid Lekki,Apartment,8000000.0,3.0,3.0,4.0,0,0,0,0,0,0,0,1,0,0,0,0,0
4 bedroom flat / apartment for rent,Old Ikoyi Ikoyi,Apartment,38000000.0,4.0,4.0,5.0,1,1,1,1,1,0,0,1,1,0,0,0,0
3 bedroom flat / apartment for rent,Conservation Road Lekki,Apartment,7000000.0,3.0,3.0,4.0,1,1,1,1,0,0,0,1,0,1,0,0,0
1 bedroom flat / apartment for rent,Egbeda Alimosho,Apartment,1750000.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0
2 bedroom flat / apartment for rent,Ikoyi,Apartment,25000000.0,2.0,2.0,3.0,1,0,1,0,1,0,0,1,1,0,1,0,0
5 bedroom detached duplex for rent,Lekki,Duplex,20000000.0,5.0,5.0,5.0,1,0,0,1,0,0,0,1,0,0,0,0,0
4 bedroom detached duplex for rent,Lekki Palm City Ajah,Duplex,12000000.0,4.0,4.0,5.0,0,0,1,0,0,1,0,0,0,0,0,0,0
4 bedroom terraced duplex for rent,Mobil Road Ajah,Duplex,7500000.0,4.0,4.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2 bedroom flat / apartment for rent,Lakowe Ibeju Lekki,Apartment,2200000.0,2.0,2.0,3.0,0,0,0,0,0,1,0,0,0,0,0,0,0
4 bedroom terraced duplex for rent,Chevron Lekki,Duplex,8000000.0,4.0,4.0,5.0,0,0,0,0,0,0,0,1,0,0,0,0,0
4 bedroom flat / apartment for rent,Ikoyi,Apartment,50000000.0,4.0,4.0,5.0,1,1,0,1,1,0,0,1,1,0,0,0,0
Self contain (single rooms) for rent,Ilaje Ajah,Apartment,1000000.0,1.0,1.0,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0
Self contain (single rooms) for rent,Thomas Estate. Ajah,Apartment,1500000.0,1.0,1.0,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0
2 bedroom flat / apartment for rent,Awoyaya Ibeju Lekki,Apartment,1500000.0,2.0,2.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0
4 bedroom semi-detached duplex for rent,Ologolo Lekki,Duplex,17000000.0,4.0,4.0,5.0,0,0,0,1,0,0,0,1,0,0,0,0,0
3 bedroom terraced duplex for rent,Ikota Lekki,Duplex,10000000.0,3.0,3.0,4.0,0,0,0,0,0,0,1,1,0,0,0,0,0
4 bedroom terraced duplex for rent,Lekki Phase 2 Lekki,Duplex,10000000.0,4.0,4.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0
4 bedroom terraced duplex for rent,Osapa Lekki,Duplex,18000000.0,4.0,5.0,6.0,0,1,0,1,0,1,0,0,1,0,0,0,0
4 bedroom terraced duplex for rent,Lekki Phase 1 Lekki,Duplex,16000000.0,4.0,4.0,5.0,1,1,0,0,0,0,0,1,0,0,0,0,0
4 bedroom terraced duplex for rent,Alpha Beach New Road Lekki,Duplex,10000000.0,4.0,4.0,4.0,0,0,1,1,0,0,0,0,0,0,0,0,0
Self contain (single rooms) for rent,Sangotedo Ajah,Apartment,2000000.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0
3 bedroom flat / apartment for rent,Alpha Beach New Road Lekki,Apartment,7500000.0,3.0,3.0,4.0,0,0,1,0,0,0,0,1,0,0,0,0,0
4 bedroom terraced duplex for rent,Osapa Lekki,Duplex,7000000.0,4.0,4.0,5.0,0,0,1,0,0,0,0,1,1,0,0,0,0
1 bedroom flat / apartment for rent,Surulere,Apartment,4000000.0,1.0,2.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0
Self contain (single rooms) for rent,Chevron Alternative Route Lekki,Apartment,6000000.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0
3 bedroom detached duplex for rent,Badore Road Ajah,Duplex,3500000.0,3.0,3.0,3.0,0,0,1,0,0,0,0,1,1,0,0,0,0
Self contain (single rooms) for rent,Abraham Adesanya Area Ajah,Apartment,1500000.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0
5 bedroom terraced duplex for rent,Parkview Ikoyi,Duplex,69999900.0,5.0,5.0,6.0,1,0,0,1,0,0,0,1,0,0,0,0,0
1 bedroom flat / apartment for rent,Orchid Road Lekki,Apartment,2500000.0,1.0,1.0,1.0,0,0,0,0,0,0,0,1,1,0,0,0,0
4 bedroom semi-detached duplex for rent,Bogije Ibeju Lekki,Duplex,6000000.0,4.0,4.0,5.0,0,0,0,0,0,0,0,1,0,0,0,0,0
1 bedroom mini flat (room and parlour) for rent,General Paint Ajah,Apartment,2000000.0,1.0,1.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2 bedroom flat / apartment for rent,Ikate Lekki,Apartment,3500000.0,2.0,2.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0
5 bedroom house for rent,Lekki Phase 1 Lekki,Apartment,100000000.0,5.0,5.0,6.0,0,0,1,0,0,0,0,0,0,0,0,0,0
5 bedroom detached duplex for rent,Awolowo Road Ikoyi,Duplex,100000000.0,5.0,5.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0
3 bedroom flat / apartment for rent,Egbeda Alimosho,Apartment,3500000.0,3.0,3.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0
3 bedroom flat / apartment for rent,Lekki Expressway Lekki,Apartment,7000000.0,3.0,3.0,4.0,0,0,0,0,0,0,0,1,1,1,0,0,0
2 bedroom flat / apartment for rent,Lakowe Ibeju Lekki,Apartment,1300000.0,2.0,2.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2 bedroom flat / apartment for rent,Lekki Garden Phase V Lekki,Apartment,3500000.0,2.0,3.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,1
2 bedroom detached duplex for rent,Bdore Road Ajah,Duplex,3700000.0,2.0,2.0,3.0,0,0,1,0,0,0,0,1,1,0,0,0,0
Self contain (single rooms) for rent,Bera Estate Chevron Lekki,Apartment,2800000.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0
1 bedroom flat / apartment for rent,Ikoyi,Apartment,15000000.0,1.0,1.0,2.0,0,0,0,0,0,0,0,1,1,0,0,0,0
1 bedroom mini flat (room and parlour) for rent,Bera Estate Chevron Lekki,Apartment,5000000.0,1.0,1.0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0
1 bedroom mini flat (room and parlour) for rent,Ikate Elegushi Lekki,Apartment,3500000.0,1.0,1.0,2.0,0,0,0,0,0,1,0,1,0,0,0,0,0
1 bedroom flat / apartment for rent,Ikate Lekki,Apartment,3500000.0,1.0,1.0,2.0,0,0,0,0,0,0,0,1,0,0,0,0,0
5 bedroom detached duplex for rent,Ikeja Gra Ikeja,Duplex,55000000.0,5.0,6.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0
3 bedroom flat / apartment for rent,Ikoyi,Apartment,75000000.0,3.0,3.0,4.0,1,1,1,1,0,0,0,1,1,0,0,0,0
4 bedroom detached duplex for rent,Gra Phase 1 Magodo,Duplex,14000000.0,4.0,5.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0
3 bedroom flat / apartment for rent,Ikoyi,Apartment,20000000.0,3.0,3.0,4.0,0,1,0,0,0,0,1,0,0,0,1,0,0
5 bedroom detached duplex for rent,Osapa Lekki,Duplex,40000000.0,5.0,5.0,6.0,1,0,1,0,0,0,1,1,1,1,0,0,0
5 bedroom detached duplex for rent,Ikeja Gra Ikeja,Duplex,70000000.0,5.0,5.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0
1 bedroom flat / apartment for rent,Lekki Phase 1 Lekki,Apartment,25000000.0,1.0,1.0,2.0,0,0,0,0,0,0,1,0,1,0,0,1,0
Self contain (single rooms) for rent,Ilaje Ajah,Apartment,1500000.0,1.0,1.0,1.0,0,0,0,0,0,1,0,1,0,0,0,0,0
4 bedroom terraced duplex for rent,Ikota Lekki,Duplex,7500000.0,4.0,4.0,5.0,0,0,0,0,0,0,0,0,1,0,0,0,0
1 bedroom mini flat (room and parlour) for rent,Ikoyi,Apartment,4500000.0,1.0,1.0,2.0,0,0,0,0,0,0,0,1,1,0,0,0,0
4 bedroom terraced duplex for rent,Ikate Lekki,Duplex,13500000.0,4.0,4.0,5.0,0,0,1,0,0,0,0,1,1,0,0,0,0
1 bedroom flat / apartment for rent,Ikota Lekki,Apartment,1400000.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0
5 bedroom semi-detached duplex for rent,Osapa Lekki,Duplex,20000000.0,5.0,5.0,6.0,0,0,0,1,0,0,0,0,1,0,0,0,0
7 bedroom detached duplex for rent,Ikeja,Duplex,60000000.0,7.0,7.0,8.0,0,0,0,1,0,0,0,0,0,0,0,0,0
5 bedroom terraced duplex for rent,Gra Ikeja,Duplex,30000000.0,5.0,5.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0
4 bedroom flat / apartment for rent,Banana Island Ikoyi,Apartment,70000000.0,4.0,4.0,5.0,1,1,0,1,0,0,0,1,0,0,0,0,0
35 bedroom detached duplex for rent,Ikeja Gra Ikeja,Duplex,190000000.0,8.0,8.0,10.0,1,1,0,0,0,0,0,0,0,0,1,0,0
4 bedroom semi-detached duplex for rent,Harris Drive Lekki,Duplex,15000000.0,4.0,4.0,5.0,0,0,0,1,0,0,0,1,0,0,0,0,0
1 bedroom mini flat (room and parlour) for rent,Orchid Road Lekki,Apartment,3000000.0,1.0,1.0,3.0,0,0,0,0,0,0,0,1,0,0,0,0,0
4 bedroom flat / apartment for rent,Lekki,Apartment,10000000.0,4.0,4.0,5.0,0,0,1,0,0,0,0,1,1,0,0,0,0
1 bedroom terraced duplex for rent,Lekki Expressway Lekki,Duplex,3000000.0,1.0,1.0,5.0,0,0,0,0,0,0,0,1,1,0,0,0,0
2 bedroom flat / apartment for rent,Addo Road Ajah,Apartment,1800000.0,2.0,2.0,3.0,0,0,0,0,0,0,0,1,1,0,0,0,0
1 bedroom terraced duplex for rent,Lekki Expressway Lekki,Duplex,2000000.0,1.0,1.0,1.0,0,0,0,0,0,0,0,1,1,0,0,0,0
3 bedroom flat / apartment for rent,Gerrard Road Ikoyi,Apartment,60000000.0,3.0,3.0,4.0,1,1,0,0,0,0,1,1,0,0,0,1,0
3 bedroom flat / apartment for rent,Off Bourdillon Road Ikoyi,Apartment,35000000.0,3.0,3.0,4.0,1,1,0,0,0,0,1,1,0,0,0,0,0
1 bedroom terraced duplex for rent,Lekki Expressway Lekki,Duplex,2600000.0,1.0,1.0,5.0,0,0,0,0,0,0,0,1,1,0,0,0,0
3 bedroom flat / apartment for rent,Ikate Elegushi Lekki,Apartment,15000000.0,3.0,3.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0
3 bedroom house for rent,Ikoyi,Apartment,240000000.0,3.0,3.0,4.0,0,0,1,0,0,1,0,1,0,0,0,0,0
4 bedroom flat / apartment for rent,Ikate Lekki,Apartment,16000000.0,4.0,4.0,5.0,1,1,0,0,0,0,0,1,1,0,0,0,0
1 bedroom mini flat (room and parlour) for rent,Eleganza Bustop Lekki,Apartment,5000000.0,1.0,1.0,2.0,1,1,0,0,0,0,0,1,0,0,0,0,0
3 bedroom flat / apartment for rent,Shonibare Estate Ikeja,Apartment,25000000.0,3.0,3.0,4.0,0,0,0,0,0,0,1,1,0,0,0,0,0
5 bedroom detached duplex for rent,Vgc Lekki,Duplex,8000000.0,5.0,5.0,6.0,0,0,0,0,0,0,0,1,0,0,0,0,0
3 bedroom flat / apartment for rent,Elsie Femi Pearse Victoria Island (Vi),Apartment,65000000.0,3.0,3.0,4.0,1,0,1,0,0,0,1,1,1,0,0,1,0
4 bedroom semi-detached duplex for rent,Old Ikoyi Ikoyi,Duplex,60000000.0,4.0,4.0,5.0,1,1,0,1,0,0,1,1,1,1,0,1,0
1 bedroom flat / apartment for rent,Osapa Lekki,Apartment,5000000.0,1.0,1.0,1.0,1,0,0,0,0,0,1,0,0,0,1,1,0
4 bedroom terraced duplex for rent,Old Ikoyi Ikoyi,Duplex,35000000.0,4.0,4.0,5.0,1,1,1,0,0,0,0,1,1,0,1,0,0
5 bedroom terraced duplex for rent,Banana Island Ikoyi,Duplex,135000000.0,5.0,5.0,6.0,1,1,0,0,1,0,0,1,0,1,1,0,1
2 bedroom flat / apartment for rent,Ilaje Ajah,Apartment,2500000.0,2.0,2.0,3.0,0,0,0,0,0,0,0,1,0,0,0,0,0
1 bedroom mini flat (room and parlour) for rent,Orchid Road Lekki,Apartment,4500000.0,1.0,1.0,2.0,1,1,0,1,0,0,0,1,1,0,0,0,0
Self contain (single rooms) for rent,Ikate Lekki,Apartment,1700000.0,1.0,1.0,1.0,1,0,0,1,0,0,0,1,1,0,0,0,0
4 bedroom semi-detached duplex for rent,Ikoyi,Duplex,65000000.0,4.0,4.0,5.0,1,1,1,0,1,0,0,0,0,0,0,0,0
2 bedroom flat / apartment for rent,Periwinkle Estate Off Freedom Way Isolo,Apartment,18000000.0,2.0,2.0,3.0,0,0,0,0,0,0,0,1,0,0,0,0,0
1 bedroom mini flat (room and parlour) for rent,Lafiaji Lekki,Apartment,4500000.0,1.0,1.0,2.0,0,0,0,0,0,0,0,1,0,0,0,0,0
3 bedroom flat / apartment for rent,Off Randle Avenue Surulere,Apartment,6500000.0,3.0,3.0,4.0,0,0,0,1,0,0,0,0,0,0,0,0,0
5 bedroom detached duplex for rent,Gbagada,Duplex,25000000.0,5.0,6.0,5.0,0,0,1,0,0,0,0,0,0,0,0,0,0
2 bedroom flat / apartment for rent,Ikoyi South West Ikoyi,Apartment,10000000.0,2.0,2.0,2.0,0,0,0,0,0,1,0,0,0,1,0,0,0
5 bedroom detached duplex for rent,Ilupeju Victoria Island (Vi),Duplex,110000000.0,5.0,5.0,5.0,0,0,0,1,0,0,0,0,0,0,0,0,0
4 bedroom detached duplex for rent,Oniru Victoria Island (Vi),Duplex,50000000.0,4.0,5.0,4.0,0,0,0,1,0,0,1,1,0,1,0,0,0
Self contain (single rooms) for rent,Off Awolowo Road Ikoyi,Apartment,5000000.0,1.0,1.0,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0
1 bedroom mini flat (room and parlour) for rent,Vintage Estate Opposite Crown Estate Ajah,Apartment,2000000.0,1.0,2.0,2.0,0,0,0,0,0,1,0,0,0,0,0,0,0
Self contain (single rooms) for rent,Oral Estate Eleganza Lekki,Apartment,1200000.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0
Self contain (single rooms) for rent,Ikate Elegushi Lekki,Apartment,3000000.0,1.0,1.0,1.0,0,0,0,0,1,0,1,1,0,0,0,0,0
2 bedroom flat / apartment for rent,Lekki Phase 2 Lekki,Apartment,8000000.0,2.0,2.0,3.0,0,0,0,0,0,0,0,1,0,0,0,0,0
Self contain (single rooms) for rent,Igbo Efon Lekki,Apartment,1200000.0,1.0,1.0,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0
4 bedroom house for rent,Sangotedo Ajah,Apartment,12000000.0,4.0,4.0,5.0,1,0,0,0,0,0,0,1,0,0,0,0,0
3 bedroom semi-detached duplex for rent,Ikate Lekki,Duplex,15000000.0,3.0,3.0,3.0,0,0,1,1,0,0,0,0,1,0,0,0,0
2 bedroom flat / apartment for rent,Lekki Phase 1 Lekki,Apartment,240000000.0,2.0,2.0,2.0,0,0,1,0,0,0,0,0,1,0,0,0,0
2 bedroom flat / apartment for rent,Lekki Phase 1 Lekki,Apartment,21000000.0,2.0,2.0,2.0,0,0,1,0,0,0,1,0,1,0,1,0,0
3 bedroom flat / apartment for rent,Lekki,Apartment,25000000.0,3.0,3.0,3.0,1,1,1,0,0,0,0,0,1,0,0,0,0
5 bedroom terraced duplex for rent,Lekki Phase 1 Lekki,Duplex,35000000.0,5.0,5.0,5.0,1,0,1,0,0,0,1,0,1,0,0,0,0
3 bedroom flat / apartment for rent,Ologolo Lekki,Apartment,12000000.0,3.0,3.0,3.0,0,0,1,0,0,0,0,0,1,0,0,0,0
Self contain (single rooms) for rent,Chevron Alternative Route Lekki,Apartment,2500000.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0
4 bedroom terraced duplex for rent,Abraham Adesanya Bustop Ajah,Duplex,7000000.0,4.0,5.0,5.0,1,0,0,0,0,0,0,0,0,1,0,0,0
3 bedroom house for rent,Lekki Phase 1 Lekki,Apartment,22000000.0,3.0,3.0,4.0,0,0,0,0,0,0,1,1,0,0,0,0,0
3 bedroom detached duplex for rent,Allen Ikeja,Duplex,15000000.0,3.0,3.0,4.0,0,0,0,0,0,0,1,1,0,0,0,0,0
3 bedroom house for rent,Off Ramat Crescent Ogudu,Apartment,5000000.0,3.0,3.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2 bedroom flat / apartment for rent,Ikota Lekki,Apartment,7000000.0,2.0,2.0,2.0,0,0,0,0,0,0,1,1,0,0,0,0,0
4 bedroom terraced duplex for rent,Ikota Gra Estate Lekki,Duplex,7500000.0,4.0,4.0,5.0,0,0,0,0,0,0,0,0,1,0,0,0,0
4 bedroom semi-detached duplex for rent,Vgc Lekki,Duplex,10000000.0,4.0,4.0,5.0,0,0,0,0,0,0,0,1,0,0,0,0,0
3 bedroom terraced duplex for rent,Sangotedo Ajah,Duplex,3500000.0,3.0,3.0,4.0,0,0,0,1,0,0,0,1,1,0,0,0,0
3 bedroom detached duplex for rent,Badore Ajah,Duplex,3500000.0,3.0,3.0,4.0,0,0,0,0,0,0,0,1,0,0,0,0,0
3 bedroom flat / apartment for rent,Off Freedom Way Lekki,Apartment,15000000.0,3.0,3.0,4.0,0,0,1,0,0,0,1,1,1,0,0,0,0
1 bedroom mini flat (room and parlour) for rent,Chevron Lekki,Apartment,4000000.0,1.0,1.0,3.0,0,0,0,0,0,0,0,1,1,1,0,0,0
3 bedroom flat / apartment for rent,Vi Victoria Island (Vi),Apartment,45000000.0,3.0,3.0,3.0,1,1,0,1,0,0,1,1,0,0,0,0,0
2 bedroom flat / apartment for rent,Anifowoshe Ikeja,Apartment,5000000.0,2.0,2.0,3.0,0,0,0,0,0,0,1,1,0,0,0,0,0
4 bedroom house for rent,Salem Lekki,Apartment,12000000.0,4.0,4.0,3.0,0,0,0,0,0,0,0,1,0,0,0,0,0
4 bedroom house for rent,Ologolo Lekki,Apartment,10000000.0,4.0,5.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0
5 bedroom house for rent,Ikate Lekki,Apartment,35000000.0,5.0,5.0,6.0,0,0,0,1,0,0,1,1,0,0,0,0,0
4 bedroom terraced duplex for rent,Gra Phase 2 Magodo,Duplex,12000000.0,4.0,4.0,5.0,0,0,0,1,0,0,0,0,0,0,0,0,0
3 bedroom terraced duplex for rent,Chevon Drive Lekki,Duplex,7000000.0,3.0,3.0,4.0,0,0,0,1,0,0,0,1,1,0,0,0,0
5 bedroom detached duplex for rent,Ikoyi,Duplex,65000000.0,5.0,5.0,6.0,1,1,0,1,0,0,0,1,0,0,0,0,0
3 bedroom flat / apartment for rent,Banana Island Ikoyi,Apartment,40000000.0,3.0,3.0,4.0,1,0,0,1,1,0,1,0,0,0,0,0,0
4 bedroom house for rent,Chevron Toll Gate Axis Lekki Lekki,Apartment,12000000.0,4.0,4.0,5.0,1,0,0,1,0,0,0,1,0,1,1,0,0
4 bedroom terraced duplex for rent,Chevron Drive Lekki,Duplex,8000000.0,4.0,4.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0
1 bedroom house for rent,Ikeja Gra Ikeja,Apartment,15000000.0,1.0,2.0,2.0,0,0,0,0,0,0,1,0,0,0,0,0,0
2 bedroom flat / apartment for rent,After Round About Orchid Road Lekki,Apartment,6000000.0,2.0,2.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0
3 bedroom flat / apartment for rent,Lekki Phase 1 Lekki,Apartment,160000000.0,3.0,3.0,4.0,0,0,1,1,1,1,0,0,0,0,0,0,0
3 bedroom terraced duplex for rent,Banana Island Ikoyi,Duplex,34999000.0,3.0,3.0,4.0,1,1,0,1,0,0,0,1,0,0,0,0,0
Self contain (single rooms) for rent,Jibowu Yaba,Apartment,3000000.0,1.0,1.0,1.0,0,0,1,0,0,0,1,0,0,0,1,1,0
3 bedroom flat / apartment for rent,Off Mobil Road Ajah,Apartment,3500000.0,3.0,3.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0
4 bedroom semi-detached duplex for rent,Ikate Lekki,Duplex,30000000.0,4.0,4.0,5.0,0,0,0,0,0,0,1,1,1,0,0,0,0
8 bedroom detached duplex for rent,Lekki Phase 1 Lekki,Duplex,60000000.0,8.0,8.0,10.0,0,0,1,1,0,0,0,0,0,0,0,0,0
3 bedroom terraced duplex for rent,Chevron Lekki,Duplex,12000000.0,3.0,3.0,4.0,0,0,1,0,0,1,0,1,0,0,0,0,1
4 bedroom terraced duplex for rent,Olokonla Ajah,Duplex,6000000.0,4.0,4.0,5.0,1,0,0,0,0,1,0,1,0,1,0,0,0
2 bedroom flat / apartment for rent,Shomolu,Apartment,5000000.0,2.0,2.0,3.0,0,0,1,0,0,0,0,0,1,0,0,0,0
4 bedroom flat / apartment for rent,Banana Island Ikoyi,Apartment,38000000.0,4.0,4.0,5.0,1,1,0,0,0,0,0,1,1,0,1,0,0
4 bedroom terraced duplex for rent,Ikoyi,Duplex,45000000.0,4.0,4.0,5.0,0,0,0,1,0,0,1,1,0,0,0,0,0
3 bedroom semi-detached duplex for rent,Chevy View Estate Lekki,Duplex,9000000.0,3.0,3.0,4.0,0,0,0,0,0,0,0,1,0,0,0,0,0
3 bedroom flat / apartment for rent,Ikate Elegushi Lekki,Apartment,28000000.0,3.0,3.0,4.0,0,0,0,1,0,0,1,1,0,0,0,0,0
Self contain (single rooms) for rent,Living Stone Estate By Coastal Road Orchid Road Lekki,Apartment,1300000.0,1.0,1.0,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0
2 bedroom flat / apartment for rent,Alpha Beach Road Lekki,Apartment,5000000.0,2.0,2.0,3.0,0,0,0,0,0,1,0,1,0,0,0,0,0
3 bedroom terraced duplex for rent,Chevron Drive Lekki,Duplex,7000000.0,3.0,3.0,4.0,0,0,0,1,0,0,0,1,1,0,0,0,0
