title,area,property_type,price_annual,bedrooms,bathrooms,toilets,has_pool,has_gym,has_parking,has_bq,has_elevator,is_newly_built,is_furnished,is_serviced,has_security,has_generator,has_ac,has_wifi,has_water
3 bedroom terraced duplex for rent,Ikota Lekki,Duplex,5000000.0,3.0,3.0,4.0,0,0,0,0,0,0,0,1,0,0,0,0,0
3 bedroom flat / apartment for rent,Chevron Drive Lekki,Apartment,6000000.0,3.0,3.0,4.0,0,0,0,1,0,0,0,1,0,0,0,0,0
2 bedroom flat / apartment for rent,Lekki Phase 1 Lekki,Apartment,35000000.0,2.0,2.0,2.0,1,0,0,0,0,0,0,1,0,0,0,1,0
4 bedroom terraced duplex for rent,Osapa Lekki,Duplex,10000000.0,4.0,4.0,5.0,0,0,0,0,0,0,0,0,1,1,0,0,0
2 bedroom flat / apartment for rent,Victoria Island (Vi),Apartment,15000000.0,2.0,2.0,3.0,0,0,0,1,0,0,0,1,0,0,0,0,0
2 bedroom house for rent,Sangotedo Ajah,Apartment,2000000.0,2.0,2.0,3.0,0,0,0,0,0,0,0,1,0,0,0,0,0
5 bedroom detached duplex for rent,Chevron Lekki,Duplex,13000000.0,5.0,5.0,6.0,0,0,0,1,0,0,0,0,0,0,0,0,0
4 bedroom house for rent,Lekki Phase 1 Lekki,Apartment,25000000.0,4.0,4.0,5.0,0,0,0,1,0,0,0,1,0,0,0,0,0
2 bedroom flat / apartment for rent,Osapa Lekki,Apartment,6500000.0,2.0,2.0,3.0,0,0,0,0,0,0,0,1,0,0,0,0,0
1 bedroom mini flat (room and parlour) for rent,Osapa Lekki,Apartment,5500000.0,1.0,1.0,2.0,0,0,0,0,0,0,0,1,0,0,1,0,0
2 bedroom flat / apartment for rent,Lekki Phase 1 Lekki,Apartment,16000000.0,2.0,2.0,3.0,0,0,0,0,0,0,1,1,0,0,0,0,0
2 bedroom flat / apartment for rent,Lekki Phase 1 Lekki,Apartment,25000000.0,2.0,2.0,3.0,1,1,0,1,0,0,0,1,1,0,0,0,0
1 bedroom flat / apartment for rent,Lekki Phase 2 Lekki,Apartment,2500000.0,1.0,2.0,3.0,0,0,0,0,0,0,0,1,0,0,0,0,0
1 bedroom flat / apartment for rent,Lekki Phase 2 Lekki,Apartment,3000000.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2 bedroom flat / apartment for rent,Ilasan Lekki,Apartment,10000000.0,2.0,2.0,3.0,1,0,0,0,1,0,0,1,0,0,1,0,0
Self contain (single rooms) for rent,Baba Adisa Ibeju Lekki Lagos Ibeju Lekki,Apartment,500000.0,1.0,1.0,1.0,0,0,0,0,0,1,1,0,0,0,0,0,0
1 bedroom mini flat (room and parlour) for rent,Baba Adisa Ibeju Lekki Lagos Ibeju Lekki,Apartment,1000000.0,1.0,1.0,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0
1 bedroom mini flat (room and parlour) for rent,Badore Ajah,Apartment,2000000.0,1.0,2.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0
4 bedroom semi-detached duplex for rent,Igbo Efon Lekki,Duplex,10000000.0,4.0,4.0,5.0,0,0,0,1,0,0,0,0,0,0,0,0,0
2 bedroom flat / apartment for rent,Badore Ajah,Apartment,2800000.0,2.0,3.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0
3 bedroom terraced duplex for rent,Lafiaji Lekki,Duplex,6000000.0,3.0,3.0,4.0,0,0,0,1,0,1,0,1,1,0,0,0,0
Self contain (single rooms) for rent,Igbo Efon Lekki,Apartment,900000.0,1.0,1.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0
4 bedroom semi-detached duplex for rent,Orchid Road (Before Roundabout) Lekki,Duplex,15000000.0,4.0,4.0,5.0,0,0,0,1,0,0,1,0,0,0,0,0,0
5 bedroom detached duplex for rent,Ikota Lekki,Duplex,15000000.0,5.0,5.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0
3 bedroom flat / apartment for rent,Ogba Ikeja,Apartment,3500000.0,3.0,3.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0
5 bedroom detached duplex for rent,Ologolo Lekki,Duplex,18000000.0,5.0,5.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0
Self contain (single rooms) for rent,Alapere Ketu,Apartment,1300000.0,1.0,1.0,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0
4 bedroom flat / apartment for rent,Sangotedo Ajah,Apartment,7000000.0,4.0,4.0,5.0,0,0,0,1,0,0,0,0,0,0,0,0,0
3 bedroom terraced duplex for rent,Lekki Phase 1 Lekki,Duplex,25000000.0,3.0,3.0,5.0,1,1,1,0,0,0,0,0,1,0,0,1,0
4 bedroom semi-detached duplex for rent,Lekki Phase 1 Lekki,Duplex,18000000.0,4.0,4.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0
1 bedroom flat / apartment for rent,Chevron Lekki,Apartment,1600000.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,1,0,0,0,1
4 bedroom semi-detached duplex for rent,Vgc By Harris Drive Lekki,Duplex,15000000.0,4.0,4.0,5.0,0,0,0,1,0,1,0,1,0,0,0,0,0
3 bedroom flat / apartment for rent,Lekki Phase 1 Lekki,Apartment,35000000.0,3.0,3.0,4.0,0,0,1,0,1,1,1,1,1,0,0,1,0
Self contain (single rooms) for rent,Osapa Lekki,Apartment,1900000.0,1.0,1.0,3.0,0,0,0,0,0,0,0,1,1,0,0,0,0
Self contain (single rooms) for rent,Osapa Lekki,Apartment,3000000.0,1.0,1.0,3.0,0,0,0,0,0,0,0,1,1,0,0,0,0
1 bedroom mini flat (room and parlour) for rent,Lekki Phase 2 Lekki,Apartment,3700000.0,1.0,1.0,2.0,0,0,0,0,0,0,0,1,0,0,0,0,0
1 bedroom mini flat (room and parlour) for rent,Lekki Phase 1 Lekki,Apartment,10000000.0,1.0,1.0,2.0,0,0,1,0,0,0,1,0,1,0,0,1,0
Self contain (single rooms) for rent,Alapere Ketu,Apartment,1100000.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0
3 bedroom flat / apartment for rent,Lekki Phase 1 Lekki,Apartment,9000000.0,3.0,3.0,4.0,0,0,0,0,0,0,0,1,0,0,0,0,0
4 bedroom semi-detached duplex for rent,Lekki Phase 2 Lekki,Duplex,17000000.0,4.0,4.0,5.0,0,0,0,1,0,1,0,1,0,0,0,0,0
1 bedroom mini flat (room and parlour) for rent,Lekki Phase 2 Lekki,Apartment,2800000.0,1.0,1.0,2.0,0,0,0,0,0,0,0,1,0,0,0,0,0
2 bedroom flat / apartment for rent,Lekki Phase 1 Lekki,Apartment,15000000.0,2.0,1.0,1.0,0,0,0,1,0,0,1,0,0,0,0,0,0
1 bedroom mini flat (room and parlour) for rent,Thomas Estate Ajah,Apartment,1300000.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0
Self contain (single rooms) for rent,Royal Pine Estate 3 Orchid Road Lekki,Apartment,2800000.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0
4 bedroom detached duplex for rent,In Beacwood Estate Ibeju Lekki,Duplex,12000000.0,4.0,5.0,5.0,0,0,0,1,0,0,0,0,0,0,0,0,0
5 bedroom detached duplex for rent,Lekki Phase 1 Lekki,Duplex,40000000.0,5.0,5.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0
3 bedroom flat / apartment for rent,Osapa Lekki,Apartment,9000000.0,3.0,3.0,4.0,0,0,0,0,0,0,0,1,0,0,0,0,0
3 bedroom flat / apartment for rent,Ikate Elegushi Lekki,Apartment,16000000.0,3.0,3.0,4.0,1,1,0,0,0,0,1,1,1,1,0,0,0
2 bedroom flat / apartment for rent,Diya Gbagada,Apartment,3800000.0,2.0,2.0,3.0,0,0,0,0,0,0,0,1,0,0,0,0,0
4 bedroom flat / apartment for rent,Off Kofo Abayomi Victoria Island (Vi),Apartment,85000000.0,4.0,4.0,5.0,1,1,0,1,1,0,0,1,1,0,1,0,0
3 bedroom flat / apartment for rent,Victoria Island Extension Victoria Island (Vi),Apartment,30000000.0,3.0,3.0,4.0,0,0,0,1,0,0,0,0,0,0,0,0,0
Self contain (single rooms) for rent,Ifako Gbagada,Apartment,1500000.0,1.0,1.0,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0
4 bedroom flat / apartment for rent,Lekki Phase 2 Lekki,Apartment,5500000.0,4.0,4.0,5.0,0,0,0,0,0,1,0,1,0,0,0,0,0
3 bedroom flat / apartment for rent,Lekki Phase 2 Lekki,Apartment,5000000.0,3.0,3.0,4.0,0,0,0,1,0,1,0,1,0,0,0,0,0
Self contain (single rooms) for rent,At Greenville Estate Badore Road Ajah,Apartment,800000.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0
4 bedroom detached duplex for rent,Adeniyi Jones Ikeja,Duplex,16000000.0,4.0,4.0,5.0,0,0,0,1,0,0,0,0,0,0,0,0,0
2 bedroom flat / apartment for rent,Ikate Lekki,Apartment,13000000.0,2.0,3.0,3.0,0,0,0,1,0,0,1,1,0,0,0,0,0
4 bedroom flat / apartment for rent,Abule Egba Agege,Apartment,3000000.0,4.0,4.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0
3 bedroom flat / apartment for rent,Ikeja Gra Ikeja,Apartment,30000000.0,3.0,2.0,4.0,0,0,0,1,0,0,1,0,0,0,0,0,0
4 bedroom flat / apartment for rent,Vgc Lekki,Apartment,9000000.0,4.0,4.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2 bedroom flat / apartment for rent,Goodnews Estate Ajah,Apartment,4000000.0,2.0,2.0,3.0,0,0,0,0,0,0,1,0,0,0,1,0,0
3 bedroom flat / apartment for rent,Old Ikoyi Ikoyi,Apartment,60000000.0,3.0,4.0,3.0,1,0,0,1,0,0,1,1,0,0,0,0,0
1 bedroom flat / apartment for rent,Ikeja,Apartment,3000000.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2 bedroom flat / apartment for rent,1004 Estate Victoria Island (Vi),Apartment,15000000.0,2.0,1.0,2.0,1,0,0,0,1,0,1,1,1,0,1,0,0
Flat / apartment for rent,Lekki Phase 1 Lekki,Apartment,2500000.0,2.0,1.0,1.0,0,0,0,1,0,0,0,1,0,0,0,0,0
4 bedroom semi-detached duplex for rent,Abijo Lekki,Duplex,5000000.0,4.0,4.0,5.0,0,0,0,0,0,0,0,1,0,0,0,0,0
3 bedroom flat / apartment for rent,Lekki,Apartment,16000000.0,3.0,3.0,4.0,0,0,0,1,0,0,0,1,0,1,0,0,0
3 bedroom flat / apartment for rent,Victoria Island (Vi),Apartment,26000000.0,3.0,4.0,4.0,1,0,0,0,1,0,0,0,0,0,1,0,0
Self contain (single rooms) for rent,At Greenville Estate Badore Road Ajah,Apartment,650000.0,1.0,1.0,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0
4 bedroom house for rent,Banana Island Ikoyi,Apartment,45000000.0,4.0,4.0,5.0,1,0,0,1,1,0,0,1,0,0,0,0,0
4 bedroom detached duplex for rent,Banana Island Road Ikoyi,Duplex,65000000.0,4.0,4.0,5.0,1,1,1,0,0,0,0,0,1,0,0,1,0
3 bedroom house for rent,Osborne Phase 2 Ikoyi,Apartment,35000000.0,3.0,3.0,3.0,0,0,0,0,0,1,0,1,0,0,0,0,0
2 bedroom flat / apartment for rent,Ikota Estate Lekki,Apartment,4500000.0,2.0,2.0,3.0,0,0,0,0,0,0,0,1,0,0,0,0,0
1 bedroom mini flat (room and parlour) for rent,Eputu Ibeju Lekki,Apartment,1500000.0,1.0,1.0,2.0,0,0,0,0,0,1,0,1,0,0,0,0,0
1 bedroom mini flat (room and parlour) for rent,Sangotedo Ajah,Apartment,1800000.0,1.0,1.0,2.0,0,0,0,0,0,0,0,1,1,0,0,0,0
3 bedroom terraced duplex for rent,Ikate Elegushi Lekki,Duplex,210000000.0,3.0,3.0,5.0,0,0,0,1,0,0,0,0,0,0,0,0,0
3 bedroom flat / apartment for rent,Ikate Lekki,Apartment,15000000.0,3.0,3.0,4.0,0,0,0,0,0,0,0,1,1,0,0,0,0
1 bedroom mini flat (room and parlour) for rent,Ogombo Ajah,Apartment,1200000.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0
1 bedroom mini flat (room and parlour) for rent,Victoria Bay Estate Orchid Lekki,Apartment,5500000.0,1.0,1.0,2.0,1,1,0,0,0,0,0,1,0,0,0,0,0
3 bedroom house for rent,Ikate Lekki,Apartment,18000000.0,3.0,3.0,4.0,0,0,0,0,0,0,1,1,0,0,0,0,0
3 bedroom flat / apartment for rent,Banana Island Ikoyi,Apartment,55000000.0,3.0,4.0,4.0,1,1,1,1,1,0,1,1,0,0,1,0,0
3 bedroom terraced duplex for rent,Ikota Lekki,Duplex,11000000.0,3.0,3.0,4.0,0,0,0,0,0,0,1,0,0,0,0,0,0
2 bedroom flat / apartment for rent,Lekki Phase 1 Lekki,Apartment,8500000.0,2.0,2.0,3.0,0,0,0,0,0,0,0,1,0,0,0,0,0
3 bedroom terraced duplex for rent,Osapa Lekki,Duplex,8000000.0,3.0,3.0,4.0,0,0,1,1,0,0,0,1,0,0,0,0,0
3 bedroom flat / apartment for rent,Ikeja Gra Ikeja,Apartment,35000000.0,3.0,2.0,4.0,0,1,0,0,1,0,0,1,0,0,0,0,0
3 bedroom terraced duplex for rent,Nike Art Gallery Lekki,Duplex,9000000.0,3.0,3.0,4.0,0,0,0,0,0,0,0,1,0,0,0,0,0
2 bedroom flat / apartment for rent,Ogombo Ajah,Apartment,3500000.0,2.0,2.0,3.0,0,0,1,0,0,1,0,0,0,0,0,0,0
5 bedroom house for rent,Parkview Ikoyi,Apartment,100000000.0,5.0,5.0,6.0,1,1,1,0,1,0,0,0,1,0,1,0,0
Self contain (single rooms) for rent,Opposite Country Beach Ajah,Apartment,600000.0,1.0,1.0,3.0,0,0,0,0,0,1,0,0,0,0,0,0,0
3 bedroom flat / apartment for rent,By Eko Hotel Victoria Island (Vi),Apartment,40000000.0,3.0,3.0,4.0,0,0,1,0,0,0,1,0,1,0,0,1,0
4 bedroom terraced duplex for rent,Lekki Phase 2 Lekki,Duplex,96000000.0,4.0,5.0,5.0,1,1,1,0,0,0,0,1,0,0,0,0,0
4 bedroom terraced duplex for rent,Lekki Phase 1 Lekki,Duplex,20000000.0,4.0,4.0,5.0,0,0,0,0,0,0,0,1,0,0,0,0,0
2 bedroom flat / apartment for rent,Opic Isheri North,Apartment,3500000.0,2.0,2.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0
4 bedroom detached duplex for rent,Thomas Estate Ajah,Duplex,8000000.0,4.0,4.0,5.0,0,0,0,0,0,0,1,1,0,0,1,0,0
2 bedroom flat / apartment for rent,Ologolo Lekki,Apartment,12000000.0,2.0,2.0,3.0,0,0,0,0,0,0,1,0,0,0,1,0,0
2 bedroom terraced duplex for rent,Ologolo Lekki,Duplex,8500000.0,2.0,2.0,3.0,0,0,0,0,0,1,0,0,0,0,0,0,0
2 bedroom flat / apartment for rent,Badore Ajah,Apartment,2500000.0,2.0,3.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0
3 bedroom flat / apartment for rent,Lekki Phase 1 Lekki,Apartment,60000000.0,3.0,3.0,3.0,1,1,0,1,1,0,1,1,1,0,0,0,0
2 bedroom flat / apartment for rent,Ikota Lekki,Apartment,7500000.0,2.0,2.0,3.0,0,0,0,0,0,0,1,1,0,0,0,0,0
4 bedroom semi-detached duplex for rent,Ikota Lekki,Duplex,10000000.0,4.0,4.0,5.0,0,0,0,1,0,0,0,0,0,0,0,0,0
4 bedroom semi-detached duplex for rent,Ikota Lekki,Duplex,8500000.0,4.0,4.0,5.0,0,0,0,1,0,0,0,0,0,0,0,0,0
4 bedroom terraced duplex for rent,Orchid Lekki,Duplex,11000000.0,4.0,4.0,5.0,0,0,0,0,0,0,1,1,0,0,0,0,0
4 bedroom detached duplex for rent,Orchid Lekki,Duplex,15000000.0,4.0,4.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0
4 bedroom terraced duplex for rent,Abraham Adesanya Ajah,Duplex,7000000.0,4.0,4.0,5.0,0,0,1,1,0,0,0,1,1,0,0,0,0
3 bedroom flat / apartment for rent,Badore Ajah,Apartment,3200000.0,3.0,4.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0
6 bedroom detached duplex for rent,Lekki Phase 1 Lekki,Duplex,70000000.0,6.0,6.0,5.0,0,0,0,1,0,0,0,0,0,0,0,0,0
1 bedroom mini flat (room and parlour) for rent,Phase 1 Lekki,Apartment,8000000.0,1.0,1.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0
4 bedroom house for rent,Orchid Road Lekki,Apartment,9000000.0,4.0,4.0,5.0,0,0,1,0,0,0,0,1,1,1,0,0,0
3 bedroom flat / apartment for rent,Estate Gbagada,Apartment,7000000.0,3.0,3.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0
3 bedroom flat / apartment for rent,Lekki Phase 1 Lekki,Apartment,20000000.0,3.0,3.0,4.0,1,1,0,0,1,0,0,1,0,0,0,0,0
1 bedroom mini flat (room and parlour) for rent,Lekki Phase 2 Lekki,Apartment,1600000.0,1.0,2.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0
1 bedroom mini flat (room and parlour) for rent,Ilasan Lekki,Apartment,3500000.0,1.0,1.0,1.0,0,0,0,0,0,0,0,1,1,0,0,0,0
